(91, 'Ryzen Threadripper 2950X', 'Socket TR4', 18.39, '16 / 32', 2018, '180 W')
(92, 'Core i9-9980XE', 'FCLGA2066', 18.16, '18 / 36', 2018, '165 W')
(93, 'Core i5-14490F', 'Intel Socket 1700', 17.87, '10 / 16', 2024, '65 W')
(94, 'Ryzen 5 7600X', 'AMD Socket AM5', 17.74, '6 / 12', 2022, '105 W')
(95, 'Core i9-7960X', 'FCLGA2066', 17.72, '16 / 32', 2017, '165 W')
(96, 'Core i7-13700T', 'FCLGA1700', 17.7, '16 / 24', 2023, '35 W')
(97, 'Ryzen 7 5800X3D', 'AMD Socket AM4', 17.64, '8 / 16', 2022, '105 W')
(98, 'Ryzen 7 5800XT', 'AMD Socket AM4', 17.63, '8 / 16', 2024, '105 W')
(99, 'Core i9-9940X', 'FCLGA2066', 17.55, '14 / 28', 2018, '165 W')
(100, 'Core i5-13500E', 'Intel Socket 1700', 17.48, '14 / 20', 2023, '65 W')
(101, 'Core i5-12600KF', 'FCLGA1700', 17.38, '10 / 16', 2021, '125 W')
(102, 'Core i9-10940X', 'FCLGA2066', 17.37, '14 / 28', 2019, '165 W')
(103, 'Core i9-12900E', 'Intel Socket 1700', 17.36, '16 / 24', 2022, '65 W')
(104, 'Ryzen 7 5800X', 'AMD Socket AM4', 17.33, '8 / 16', 2020, '105 W')
(105, 'Core i5-12600K', 'FCLGA1700', 17.24, '10 / 16', 2021, '125 W')
(106, 'Ryzen Threadripper 1950X', 'AMD Socket SP3r2', 17.21, '16 / 32', 2017, '180 W')
(107, 'Core i5-13490F', 'Intel Socket 1700', 17.07, '10 / 16', 2023, '65 W')
(108, 'Ryzen 5 7600', 'AMD Socket AM5', 16.86, '6 / 12', 2023, '65 W')
(109, 'Core i5-13400E', 'Intel Socket 1700', 16.83, '10 / 16', 2023, '65 W')
(110, 'Core i5-13600T', 'FCLGA1700', 16.75, '14 / 20', 2023, '35 W')
(111, 'Ryzen 5 7500F', 'AMD Socket AM5', 16.74, '6 / 12', 2023, '65 W')
(112, 'Ryzen 7 5700X', 'AMD Socket AM4', 16.61, '8 / 16', 2022, '65 W')
(113, 'Ryzen 7 5700X3D', 'AMD Socket AM4', 16.41, '8 / 16', 2024, '105 W')
(114, 'Core i5-14600T', 'FCLGA1700', 16.3, '14 / 20', 2024, '35 W')
(115, 'Core i9-10920X', 'FCLGA2066', 16.28, '12 / 24', 2019, '165 W')
(116, 'Core i7-14701E', 'Intel Socket 1700', 16.12, '8 / 16', 2024, '65 W')
