['381', 'Core i5-12600K', 'desktop', 'FCLGA1700', '17.27', '10 / 16', '2021', '125 W']
['382', 'Ryzen Threadripper 1950X', 'desktop', 'AMD Socket SP3r2', '17.24', '16 / 32', '2017', '180 W']
['386', 'Core i5-13490F', 'desktop', 'Intel Socket 1700', '17.09', '10 / 16', '2023', '65 W']
['395', 'Ryzen 5 7600', 'desktop', 'AMD Socket AM5', '16.90', '6 / 12', '2023', '65 W']
['397', 'Core i5-13400E', 'desktop', 'Intel Socket 1700', '16.85', '10 / 16', '2023', '65 W']
['400', 'Core i5-13600T', 'desktop', 'FCLGA1700', '16.77', '14 / 20', '2023', '35 W']
['401', 'Ryzen 5 7500F', 'desktop', 'AMD Socket AM5', '16.75', '6 / 12', '2023', '65 W']
['409', 'Ryzen 7 5700X', 'desktop', 'AMD Socket AM4', '16.63', '8 / 16', '2022', '65 W']
['413', 'Ryzen 7 5700X3D', 'desktop', 'AMD Socket AM4', '16.43', '8 / 16', '2024', '105 W']
['416', 'Core i7-14701E', 'desktop', 'Intel Socket 1700', '16.38', '8 / 16', '2024', '65 W']
['418', 'Core i9-10920X', 'desktop', 'FCLGA2066', '16.32', '12 / 24', '2019', '165 W']
['419', 'Core i5-14600T', 'desktop', 'FCLGA1700', '16.32', '14 / 20', '2024', '35 W']
['426', 'Ryzen 5 7600X3D', 'desktop', 'AMD Socket AM5', '16.08', '6 / 12', '2024', '65 W']
['427', 'Ryzen 7 5800', 'desktop', 'AMD Socket AM4', '16.07', '8 / 16', '2020', '65 W']
['428', 'Core i9-7940X', 'desktop', 'FCLGA2066', '16.04', '14 / 28', '2017', '165 W']
['430', 'Core i5-14400F', 'desktop', 'FCLGA1700', '16.01', '10 / 16', '2024', '65 W']
['436', 'Core i5-14400', 'desktop', 'FCLGA1700', '15.86', '10 / 16', '2024', '65 W']
['437', 'Ryzen 5 8600G', 'desktop', 'AMD Socket AM5', '15.83', '6 / 12', '2024', '65 W']
['442', 'Ryzen Threadripper 2920X', 'desktop', 'AMD Socket SP3r2', '15.75', '12 / 24', '2018', '180 W']
['445', 'Core i9-11900K', 'desktop', 'FCLGA1200', '15.67', '8 / 16', '2021', '125 W']
['446', 'Core i9-9920X', 'desktop', 'FCLGA2066', '15.66', '12 / 24', '2018', '165 W']
['447', 'Core i5-13400F', 'desktop', 'FCLGA1700', '15.66', '10 / 16', '2023', '65 W']
['456', 'Core i9-11900KF', 'desktop', 'FCLGA1200', '15.50', '8 / 16', '2021', '125 W']
['466', 'Ryzen 7 5700G', 'desktop', 'AMD Socket AM4', '15.30', '8 / 16', '2021', '65 W']
['467', 'Core i7-11700K', 'desktop', 'FCLGA1200', '15.28', '8 / 16', '2021', '125 W']
['473', 'Ryzen 5 8400F', 'desktop', 'AMD Socket AM5', '15.20', '6 / 12', '2024', '65 W']
['474', 'Ryzen 7 PRO 5750G', 'desktop', 'AMD Socket AM4', '15.19', '8 / 16', '2021', '65 W']
['475', 'Ryzen 7 5700', 'desktop', 'AMD Socket AM4', '15.19', '8 / 16', '2022', '65 W']
['483', 'Core i7-11700KF', 'desktop', 'FCLGA1200', '14.91', '8 / 16', '2021', '125 W']
['487', 'Core i9-7920X', 'desktop', 'FCLGA2066', '14.77', '12 / 24', '2017', '140 W']
['490', 'Ryzen 7 3800XT', 'desktop', 'AMD Socket AM4', '14.73', '8 / 16', '2020', '105 W']
['499', 'Core i5-13400', 'desktop', 'FCLGA1700', '14.62', '10 / 16', '2023', '65 W']
['500', 'Core i5-14500T', 'desktop', 'FCLGA1700', '14.61', '14 / 20', '2024', '35 W']
['502', 'Core i7-13700TE', 'desktop', 'Intel Socket 1700', '14.58', '16 / 24', '2023', '35 W']
['511', 'Ryzen Threadripper 1920X', 'desktop', 'AMD Socket SP3r2', '14.43', '12 / 24', '2017', '180 W']
['513', 'Ryzen 7 3800X', 'desktop', 'AMD Socket AM4', '14.42', '8 / 16', '2019', '105 W']
['514', 'Core i5-13500T', 'desktop', 'FCLGA1700', '14.39', '14 / 20', '2023', '35 W']
['516', 'Core i9-11900KB', 'desktop', 'FCBGA1787', '14.32', '8 / 16', '2021', '65 W']
['518', 'Core i9-12900TE', 'desktop', 'Intel Socket 1700', '14.29', '16 / 24', '2022', '35 W']
['520', 'Ryzen 7 PRO 3700', 'desktop', 'AMD Socket AM4', '14.26', '8 / 16', '2019', '65 W']
['525', 'Core i9-10900K', 'desktop', 'FCLGA1200', '14.14', '10 / 20', '2020', '125 W']
['528', 'Core i9-11900', 'desktop', 'FCLGA1200', '14.09', '8 / 16', '2021', '65 W']
['531', 'Ryzen 7 3700X', 'desktop', 'AMD Socket AM4', '14.04', '8 / 16', '2019', '65 W']
['533', 'Core i9-10900X', 'desktop', 'FCLGA2066', '14.02', '10 / 20', '2019', '165 W']
['536', 'Core i9-10900KF', 'desktop', 'FCLGA1200', '14.01', '10 / 20', '2020', '125 W']
['544', 'Ryzen 7 5700GE', 'desktop', 'Socket AM4', '13.89', '8 / 16', '−', '35 W']
['546', 'Core i9-10850K', 'desktop', 'FCLGA1200', '13.88', '10 / 20', '2020', '125 W']
['550', 'Core i9-11900F', 'desktop', 'FCLGA1200', '13.86', '8 / 16', '2021', '65 W']
